id,affiliation_name
10.17606314/h9f7p48,University of Notre Dame
10.52673524/j1n5b53,University of Western Brittany
10.65674806/h7a0b29,National Postal Museum
10.79962040/v3n1h38,Wageningen University & Research
10.7401563/n2d7d90,Shobhit Institue of Engineering and Techenology
10.30170866/c8u7h19,Wayne State University
10.57466861/w5t8k21,KU Leuven
10.74264668/f8n5c74,New York University
10.34883521/w7f8q23,Princeton University
10.76181934/u2w4r78,Louisiana State University
10.25404989/r8c4s97,Pennington Biomedical Research Center
10.98104159/n3n5i74,University of North Texas
10.64088757/r1g4l37,Jackson State University
10.64291005/b2u8q55,Massachusetts Institute of Technology
10.29462142/g5g6b31,University of Oxford
10.92422423/w8y4d13,agentschap Onroerend Erfgoed
10.4778375/b3q7g05,U.S. Department of Agriculture
10.51130510/d4a3v61,US Forest Service
10.12412466/m5b6b14,Pacific Southwest Research Station
10.10935123/b6b9e76,University of Arizona
10.29712625/u4i7q22,Moscow Stаte Lomonosov University
10.57984312/k9b2x30,FGBOU VO &quot;Moskovskii gosudarstvennyi lingvisticheskii universitet&quot;
10.69488116/f4s2w52,FSBEI of HE “Kalmyk State University”
10.79951365/z8y6t17,FSBEI of HE &quot;Irkutsk State University&quot;
10.67600978/u0z3g13,University of Szeged
10.27108448/v1e6m72,Tashkent State University of Economics
10.21044004/p9v6y44,Biological Recovery & Re-use Technology
10.34553579/a5e9g33,WIMEK
10.89265031/a1g2p10,Sub-department of Environmental Technology
10.94711517/r0c3h71,Bölcsészettudományi Kutatóközpont Művészettörténeti Intézet
10.10103292/h4h6i56,University of Economics in Bratislava
10.20727637/y4k7u98,"Department of Anatomy and Cell Biology, University of Iowa"
10.8485856/c4b4o40,Natural Resources Canada
10.83108255/u3y7w91,"Natural Resources
Canada"
10.7758614/b5c7t92,"Natural
Resources Canada"
10.60250904/o4h7i87,University of Maryland
10.40023860/p5v3d63,Macquarie University
10.69286341/r3q5g91,Universiteit Gent
10.37770942/l0u4s87,Arizona State University
10.8442853/m6a5w50,Carnegie Mellon University
10.7101129/v8c9r52,Center For Open Science
10.84566857/t5j3z40,University of Edinburgh
10.71483434/x9f9p92,UCLA
10.96015698/p6i6a74,Purdue University
10.34092287/a8h8f54,University of Virginia
10.92256278/p0a9x66,Erasmus University Rotterdam
10.13232799/h3b7m37,Cornell University
10.11118206/q1t8p23,Vrije Universiteit Amsterdam
10.60822022/e5w0g87,Duke University
10.80695375/q3r0c86,Metadata Game Changers
10.32959382/x4a4f18,Brown University
10.16362429/n5t7z05,École Polytechnique Fédérale de Lausanne
10.29407414/n6w8i61,Université de Fribourg (Suisse)
10.36489486/k1j9e12,University of British Columbia
10.28310270/g7a3a05,University of Amsterdam
10.4319445/n3h9y52,FSEI of HPE &quot;Moscow Stаte Lomonosov University&quot;
10.49486480/r2y7l39,Belarus State University
10.2263994/r0a2n36,Boise State University
10.35691013/i7e2c09,Forest Products Laboratory
10.71741106/z3z5v55,Federal Reserve Bank of Cleveland
10.71919060/q0i4p85,University of North Carolina at Chapel Hill
10.78989530/c6y7k62,Obafemi Awolowo University
10.50589358/u3q6m07,Yangzhou University
10.98154565/u4q9c24,Assiut University
10.58799021/k9i0g34,Zagazig University
10.23510793/r5s1q17,Queensland Health
10.65808382/x7q1q53,Sunshine Coast University Hospital
10.18506800/m0c3q15,Queensland Children’s Hospital
10.11076088/n3x0i85,Szegedi Tudományegyetem
10.4723730/x7s8c26,Tohoku Egyetem
10.15047398/x3l1n62,Pázmány Péter Katolikus Egyetem
10.92279310/j4o9q90,Idaho State University
10.82808199/e9h9h40,"United States Department of Agriculture, Agricultural Research Service"
10.2455067/u5d5f12,Széchenyi István Egyetem
10.11182936/k2x2s05,Budapesti Gazdasági Egyetem
10.65414504/m2h8r07,University of Valladolid
10.52181075/c9h4w08,Defence Institute of Advanced Technology
10.97158099/t9q5u88,"Huazhong University of Science and Technology School of Artificial Intelligence and Automation, The MOE Key Laboratory of Image Processing and Intelligent Control, , Wuhan 4300074 , China"
10.79136195/k5r0y35,Christian-Albrechts-Universität zu Kiel
10.70094832/g5i7o81,Maastricht University
10.2184221/c6n3x95,Virginia Commonwealth University
10.5605026/z4q0v40,Shanghai Jiao Tong University
10.39063538/l8l2j27,South China Normal University
10.41805773/t2x5t90,Renmin University of China
10.78330815/r6a3c49,Nankai University
10.30801839/w3m7a31,INFN Sezione di Torino
10.56298103/q3v9c09,Institut des Hautes Etudes Scientifiques
10.37056782/a6b3d25,The Pennsylvania State University
10.15695216/y1f6j68,"University of California, Berkeley"
10.46625923/r1g9p40,Friedrich-Schiller-Universität Jena
10.77038805/s7k9s29,University of Pannonia
10.82412002/o1a0s62,University of Tübingen
10.48180115/s3j6b83,National United University
10.96562019/z8u0t42,Central South University
10.23481451/m6m4i97,Université Paris-Saclay
10.53215605/i4r9v74,Catholic University of Korea
10.98777787/n2c8i87,Ohio University
10.61905855/p2k7s50,Nuclear Physics Institute of the Czech Academy of Sciences
10.62735233/u1c8s14,Ludong University
10.99070817/w6m4d92,Naval Aviation University
10.96493007/t5p0m89,Beijing Normal University
10.76578799/f2b5v24,Korea Institute for Advanced Study
10.53862189/b2u7n53,Kyoto University
10.78308446/h4z3t71,National Tsing Hua University
10.81326888/x4k6u82,The University of Tokyo
10.47145743/h7q3r59,SPring-8/JASRI
10.87963329/q5q3r90,Tohoku University
10.14509407/u1b7g86,Central Research Institute of Electric Power Industry
10.42000914/k8m7x61,University of Cologne
10.83495751/y1d8f62,Ames Laboratory
10.19060914/n9s2q54,Iowa State University
10.20016390/a6g8l20,University of Rochester
10.3232180/k2z0u83,SLAC National Accelerator Laboratory
10.17508467/n2y3b69,Montana State University
10.70514463/j6e1r34,University of Fribourg
10.66183742/i0e7w04,Fritz-Haber-Institut der Max-Planck-Gesellscahft
10.5280544/x0s4e16,Diamond Light Source
10.1934509/t7h3p31,University of West Bohemia
10.16447344/r3v0e46,Institut Jean Lamour
10.26183005/r2m6a72,Max Planck Institute for Chemical Physics of Solids
10.28573778/u5i0c40,University of Geneva
10.14176198/n4g4t75,Indian Institute of Technology Mandi
10.10630918/l5j0v31,Indian Institute of Technology Goa
10.39987971/l4n4f98,High Energy Accelerator Research Organization (KEK)
10.42213752/y2l9z22,Lomonosov Moscow State University
10.78471826/w3q8w04,Ioffe Institute
10.52793183/e2r9v67,University of Zurich
10.56637257/e6c3s23,Ghent University
10.90072322/y8y8v33,Warsaw University of Technology
10.96007146/f7l0n90,University of Warsaw
10.86579917/h6s1s08,"University of California, Santa Barbara"
10.75290133/u4g1i41,University of South Carolina
10.53449856/f9h4d13,Helmholtz-Zentrum Dresden-Rossendorf
10.45439986/u1k5d16,University of Augsburg
10.54804190/c8r7q73,Institute of Applied Physics
10.11700289/b0q1q09,TU Dresden
10.34269144/d8q8n06,Freie Universität Berlin
10.43959348/d6s5v19,Université Paris Cité
10.37665194/z9i9s92,Laboratoire Matériaux et Phénomènes Quantiques
10.2743505/g5t6v44,Institute for Advanced Study
10.14674659/q3w9y22,"Laboratoire de Physique de l'Ecole normale supérieure, ENS"
10.97478567/f6r0u67,University of Colorado Colorado Springs
10.65209710/c6o5y34,Nanjing University of Posts and Telecommunications
10.54073241/y9v8q31,East China Normal University
10.71320217/c5v8h07,University of Minnesota
10.28010694/c6f4s81,The University of Texas at Austin
10.57972065/c4o9u70,University of Luxembourg
10.82011306/c0u9k07,Earth and Planets Laboratory
10.31330495/u1e8i67,Carnegie Institution for Science
10.12342558/x9d2q95,University of Cambridge
10.1694969/u4b3q94,Advanced Institute for Materials Research
10.74116437/c8p7s55,Graz University of Technology
10.79268604/b2j8i77,European Synchrotron Radiation Facility
10.22206078/a1q9w64,Advanced Light Source
10.75093177/g4t5w19,Lawrence Berkeley National Laboratory
10.32859602/i8v3e78,Intellectual Ventures
10.22015436/e9k0r84,Paul Scherrer Institut
10.34663906/f0u0b36,Shandong University
10.42385698/v5y0d04,Instituto de Telecomunicações
10.52201537/k4g7m49,University of Lisbon
10.258425/x6x3o62,Universidade do Minho
10.12636613/o8t5s32,Universidade Federal do Rio de Janeiro
10.53607720/h7j1o87,Tianjin University
10.18064961/c9d6n53,Inner Mongolia University
10.15134590/q2f3u09,Oak Ridge National Laboratory
10.28090045/c5m5e02,Brigham Young University
10.19354036/j9f0r51,TRIUMF
10.50090695/q6x6y78,North Carolina State University
10.91488395/g7w2w22,Institute of Physics
10.75744457/f0i6p69,Chinese Academy of Sciences
10.64052958/c7c1c27,University of California San Diego
10.75741756/t3x5l79,Michigan State University
10.83597665/r0e2l60,University of Florida
10.66641134/t9g6f64,University of Alabama at Birmingham
10.71442158/j4n8y21,Rice University
10.20593981/d2p4q95,Max Planck Institute for Physics of Complex Systems
10.60592339/h8c5w29,Queen Mary University of London
10.26119200/k6q0s21,Indian Institute of Technology
10.65899843/q9a7i89,Bhabha Atomic Research Centre
10.4934433/b5u6b68,Homi Bhabha National Institute
10.133861/j0c5q54,"Indian Institute of Science Education and Research, Bhopal"
10.28355501/p8d3p42,"Institute of Physics, Bhubaneswar"
10.89093016/s8u5f38,Joint Quantum Institute
10.75663576/r8z2s95,"University of Maryland, College Park"
10.35986369/e6v5y15,Kavli Institute for Theoretical Physics
10.49272748/o5w8w48,Universität Regensburg
10.88616130/n6m2b16,University of Konstanz
10.27189850/v4a6s32,University of Texas
10.85222142/l3e6u29,Ames National Laboratory
10.23770695/z3p0l25,University of Science and Technology Beijing
10.66951423/z1m8p21,National Center for Nanoscience and Technology
10.49067888/a4y9s89,"Institute of Physics, Chinese Academy of Sciences"
10.5988961/r0v8k86,Université de Perpignan via Domitia
10.64548288/u5w5r24,"Kavli Institute for Theoretical Physics, University of California"
10.24053376/k2g9w64,University of Manchester
