id,affiliation_name,affiliation_id
10.17606314/h9f7p48,University of Notre Dame,https://ror.org/00mkhxb43
10.52673524/j1n5b53,University of Western Brittany,https://ror.org/01b8h3982
10.65674806/h7a0b29,National Postal Museum,https://ror.org/017fpfn86
10.79962040/v3n1h38,Wageningen University & Research,https://ror.org/04qw24q55
10.7401563/n2d7d90,Shobhit Institue of Engineering and Techenology,https://ror.org/01bj3aw27
10.30170866/c8u7h19,Wayne State University,https://ror.org/01070mq45
10.57466861/w5t8k21,KU Leuven,https://ror.org/05f950310
10.74264668/f8n5c74,New York University,https://ror.org/0190ak572
10.34883521/w7f8q23,Princeton University,https://ror.org/00hx57361
10.76181934/u2w4r78,Louisiana State University,https://ror.org/05ect4e57
10.25404989/r8c4s97,Pennington Biomedical Research Center,https://ror.org/040cnym54
10.98104159/n3n5i74,University of North Texas,https://ror.org/00v97ad02
10.64088757/r1g4l37,Jackson State University,https://ror.org/01ecnnp60
10.64291005/b2u8q55,Massachusetts Institute of Technology,https://ror.org/042nb2s44
10.29462142/g5g6b31,University of Oxford,https://ror.org/052gg0110
10.92422423/w8y4d13,agentschap Onroerend Erfgoed,https://ror.org/043ddq142
10.4778375/b3q7g05,U.S. Department of Agriculture,https://ror.org/01na82s61
10.51130510/d4a3v61,US Forest Service,https://ror.org/03zmjc935
10.12412466/m5b6b14,Pacific Southwest Research Station,https://ror.org/036a0fn15
10.10935123/b6b9e76,University of Arizona,https://ror.org/03m2x1q45
10.29712625/u4i7q22,Moscow Stаte Lomonosov University,https://ror.org/010pmpe69
10.57984312/k9b2x30,FGBOU VO &quot;Moskovskii gosudarstvennyi lingvisticheskii universitet&quot;,https://ror.org/020z26690
10.69488116/f4s2w52,FSBEI of HE “Kalmyk State University”,https://ror.org/05jfsf459
10.79951365/z8y6t17,FSBEI of HE &quot;Irkutsk State University&quot;,https://ror.org/01j99nc54
10.67600978/u0z3g13,University of Szeged,https://ror.org/01pnej532
10.27108448/v1e6m72,Tashkent State University of Economics,https://ror.org/029t9db68
10.21044004/p9v6y44,Biological Recovery & Re-use Technology,https://ror.org/04qw24q55
10.34553579/a5e9g33,WIMEK,https://ror.org/04qw24q55
10.89265031/a1g2p10,Sub-department of Environmental Technology,https://ror.org/04qw24q55
10.94711517/r0c3h71,Bölcsészettudományi Kutatóközpont Művészettörténeti Intézet,https://ror.org/046d4aw91
10.10103292/h4h6i56,University of Economics in Bratislava,https://ror.org/0310h1546
10.20727637/y4k7u98,"Department of Anatomy and Cell Biology, University of Iowa",https://ror.org/036jqmy94
10.8485856/c4b4o40,Natural Resources Canada,https://ror.org/05hepy730
10.83108255/u3y7w91,"Natural Resources
Canada",https://ror.org/05hepy730
10.7758614/b5c7t92,"Natural
Resources Canada",https://ror.org/05hepy730
10.60250904/o4h7i87,University of Maryland,https://ror.org/047s2c258
10.40023860/p5v3d63,Macquarie University,https://ror.org/01sf06y89
10.69286341/r3q5g91,Universiteit Gent,https://ror.org/00cv9y106
10.37770942/l0u4s87,Arizona State University,https://ror.org/03efmqc40
10.8442853/m6a5w50,Carnegie Mellon University,https://ror.org/05x2bcf33
10.7101129/v8c9r52,Center For Open Science,https://ror.org/05d5mza29
